sentence_id,sentence,notation,n_moves,winner
c_0,The board is empty.,,0,
c_1,Sujith is X and has gone for up and left from center; Seoyeon is O and has not moved yet.,X:TL,1,
c_2,Seoyeon is X and has gone for above the center; Sujith is O and has not moved yet.,X:TM,1,
c_3,Goli is X and has taken top right corner; Zhenmao is O and has not moved yet.,X:TR,1,
c_4,Sujith is X and has taken middle row left; Wang is O and has not moved yet.,X:ML,1,
c_5,Sujith is X and has gone for middle; SONG is O and has not moved yet.,X:C,1,
c_6,Wenjia is X and has gone for right of centre; Zhenmao is O and has not moved yet.,X:MR,1,
c_7,Kim is X and has taken bottom left corner; Wang is O and has not moved yet.,X:BL,1,
c_8,Watson is X and has taken below the center; Zhenmao is O and has not moved yet.,X:BM,1,
c_9,Sujith is X and has taken bottom right corner; Wenjia is O and has not moved yet.,X:BR,1,
c_10,Fergus is X and has taken top left corner; Wenjia is O and has gone for top middle.,X:TL O:TM,2,
c_11,Sujith is X and has taken above the center; Fergus is O and has gone for top left corner.,X:TM O:TL,2,
c_12,SONG is X and has gone for up and left from center; Zhenmao is O and has taken top right corner.,X:TL O:TR,2,
c_13,SONG is X and has gone for up and right from center; Wenjia is O and has taken top left corner.,X:TR O:TL,2,
c_14,Zhenmao is X and has gone for top left corner; Wenjia is O and has taken middle row left.,X:TL O:ML,2,
c_15,SONG is X and has taken left of centre; Fergus is O and has taken up and left from center.,X:ML O:TL,2,
c_16,SONG is X and has gone for top left corner; Goli is O and has gone for middle.,X:TL O:C,2,
c_17,Wenjia is X and has gone for middle; Sujith is O and has gone for up and left from center.,X:C O:TL,2,
c_18,Goli is X and has gone for up and left from center; Watson is O and has gone for middle row right.,X:TL O:MR,2,
c_19,Watson is X and has taken middle row right; Kim is O and has gone for up and left from center.,X:MR O:TL,2,
c_20,Sujith is X and has taken top left corner; Goli is O and has taken down and left from center.,X:TL O:BL,2,
c_21,Wenjia is X and has taken down and left from center; Watson is O and has gone for up and left from center.,X:BL O:TL,2,
c_22,Wenjia is X and has gone for top left corner; Zhenmao is O and has gone for below the center.,X:TL O:BM,2,
c_23,Seoyeon is X and has gone for below the center; SONG is O and has gone for top left corner.,X:BM O:TL,2,
c_24,Wang is X and has gone for up and left from center; Sujith is O and has taken down and right from center.,X:TL O:BR,2,
c_25,Fergus is X and has gone for bottom right corner; Zhenmao is O and has gone for up and left from center.,X:BR O:TL,2,
c_26,Kim is X and has taken top middle; Sujith is O and has gone for top right corner.,X:TM O:TR,2,
c_27,Zhenmao is X and has gone for up and right from center; Sujith is O and has taken above the center.,X:TR O:TM,2,
c_28,Zhenmao is X and has taken top middle; Seoyeon is O and has taken middle row left.,X:TM O:ML,2,
c_29,SONG is X and has gone for left of centre; Watson is O and has taken top middle.,X:ML O:TM,2,
c_30,Kim is X and has gone for top middle; Seoyeon is O and has gone for middle.,X:TM O:C,2,
c_31,Watson is X and has taken middle; Seoyeon is O and has taken top middle.,X:C O:TM,2,
c_32,Wenjia is X and has taken above the center; Wang is O and has gone for right of centre.,X:TM O:MR,2,
c_33,Zhenmao is X and has taken middle row right; Kim is O and has gone for top middle.,X:MR O:TM,2,
c_34,Wang is X and has gone for above the center; Watson is O and has gone for down and left from center.,X:TM O:BL,2,
c_35,SONG is X and has taken bottom left corner; Wang is O and has taken above the center.,X:BL O:TM,2,
c_36,Kim is X and has taken top middle; Watson is O and has gone for below the center.,X:TM O:BM,2,
c_37,Zhenmao is X and has gone for below the center; Wang is O and has gone for above the center.,X:BM O:TM,2,
c_38,Sujith is X and has gone for top middle; Zhenmao is O and has taken bottom right corner.,X:TM O:BR,2,
c_39,Wang is X and has taken down and right from center; Sujith is O and has gone for top middle.,X:BR O:TM,2,
c_40,Seoyeon is X and has taken top right corner; Sujith is O and has taken middle row left.,X:TR O:ML,2,
c_41,SONG is X and has taken middle row left; Wang is O and has taken up and right from center.,X:ML O:TR,2,
c_42,Wenjia is X and has taken top right corner; Zhenmao is O and has taken center.,X:TR O:C,2,
c_43,SONG is X and has taken middle; Sujith is O and has taken up and right from center.,X:C O:TR,2,
c_44,SONG is X and has taken up and right from center; Goli is O and has taken middle row right.,X:TR O:MR,2,
c_45,Zhenmao is X and has taken right of centre; Watson is O and has gone for up and right from center.,X:MR O:TR,2,
c_46,Watson is X and has gone for up and right from center; Kim is O and has taken bottom left corner.,X:TR O:BL,2,
c_47,Fergus is X and has taken down and left from center; Goli is O and has taken up and right from center.,X:BL O:TR,2,
c_48,Watson is X and has gone for top right corner; Zhenmao is O and has gone for bottom middle.,X:TR O:BM,2,
c_49,Wenjia is X and has taken below the center; Seoyeon is O and has gone for up and right from center.,X:BM O:TR,2,
c_50,Wang is X and has gone for up and right from center; Sujith is O and has gone for bottom right corner.,X:TR O:BR,2,
