run_id,image_id,img_path,sentence_id,true_sentence,n_moves,error
LLM-openrouter-sbert,c_871.png,D:\Users\git-repo\1\src\data\images\type-c\c_871.png,c_871,There is X in middle right and bottom center and O in top center and lower right.,4,"Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}"
LLM-openrouter-sbert,c_1293.png,D:\Users\git-repo\1\src\data\images\type-c\c_1293.png,c_1293,"top left, center left, and center right has X; top center and bottom middle has O.",5,"Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}"
LLM-openrouter-sbert,c_2217.png,D:\Users\git-repo\1\src\data\images\type-c\c_2217.png,c_2217,"center left, middle right, and lower right has X; upper right and bottom left has O.",5,"Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}"
LLM-openrouter-sbert,c_2818.png,D:\Users\git-repo\1\src\data\images\type-c\c_2818.png,c_2818,"X is in top left, top center, and lower left; O is in center left, center right, and bottom center.",6,"Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}"
LLM-openrouter-sbert,c_3787.png,D:\Users\git-repo\1\src\data\images\type-c\c_3787.png,c_3787,"X is in top right, middle, and lower right; O is in middle left, middle right, and bottom middle.",6,"Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}"
LLM-openrouter-sbert,c_2528.png,D:\Users\git-repo\1\src\data\images\type-c\c_2528.png,c_2528,"X is in upper right, center left, and bottom right; O is in top left, top center, and bottom middle.",6,"Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}"
LLM-openrouter-sbert,c_5265.png,D:\Users\git-repo\1\src\data\images\type-c\c_5265.png,c_5265,"There is X in upper right, center left, middle, bottom middle, and lower right and O in top left, top middle, center right, and bottom left.",9,"Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}"
LLM-openrouter-sbert,c_1144.png,D:\Users\git-repo\1\src\data\images\type-c\c_1144.png,c_1144,"There is X in upper left, upper right, and center right and O in top center and center.",5,"Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}"
LLM-openrouter-sbert,c_4653.png,D:\Users\git-repo\1\src\data\images\type-c\c_4653.png,c_4653,"X is in top center, upper right, middle left, and lower left; O is in center, middle right, and bottom center.",7,"Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}"
LLM-openrouter-sbert,c_5210.png,D:\Users\git-repo\1\src\data\images\type-c\c_5210.png,c_5210,"X is in top right, center left, middle right, and bottom middle; O is in top middle, middle, bottom left, and lower right.",8,"Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}"
LLM-openrouter-sbert,c_2178.png,D:\Users\git-repo\1\src\data\images\type-c\c_2178.png,c_2178,"There is X in middle left, lower left, and bottom center and O in upper right and center.",5,"Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}"
LLM-openrouter-sbert,c_17.png,D:\Users\git-repo\1\src\data\images\type-c\c_17.png,c_17,middle has X; top left has O.,2,"Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}"
LLM-openrouter-sbert,c_1627.png,D:\Users\git-repo\1\src\data\images\type-c\c_1627.png,c_1627,"X is in upper right, middle right, and bottom right; O is in top left and bottom middle.",5,"Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}"
LLM-openrouter-sbert,c_1195.png,D:\Users\git-repo\1\src\data\images\type-c\c_1195.png,c_1195,"There is X in top left, middle right, and bottom center and O in top middle and top right.",5,"Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}"
LLM-openrouter-sbert,c_1142.png,D:\Users\git-repo\1\src\data\images\type-c\c_1142.png,c_1142,"top left, top middle, and center right has X; top right and middle has O.",5,"Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}"
LLM-openrouter-sbert,c_3988.png,D:\Users\git-repo\1\src\data\images\type-c\c_3988.png,c_3988,"X is in top left, upper right, middle, and bottom left; O is in top middle, middle left, and lower right.",7,"Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}"
LLM-openrouter-sbert,c_4482.png,D:\Users\git-repo\1\src\data\images\type-c\c_4482.png,c_4482,"X is in upper left, upper right, center left, and center; O is in middle right, bottom left, and lower right.",7,"Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}"
LLM-openrouter-sbert,c_1140.png,D:\Users\git-repo\1\src\data\images\type-c\c_1140.png,c_1140,"X is in upper left, top middle, and top right; O is in center and center right.",5,"Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}"
LLM-openrouter-sbert,c_3230.png,D:\Users\git-repo\1\src\data\images\type-c\c_3230.png,c_3230,"X is in upper right, lower left, and bottom center; O is in upper left, middle, and lower right.",6,"Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}"
LLM-openrouter-sbert,c_615.png,D:\Users\git-repo\1\src\data\images\type-c\c_615.png,c_615,middle right and bottom left has X; upper left and center has O.,4,"Error code: 401 - {'error': {'message': 'Missing Authentication header', 'code': 401}}"
