image_id,gold_label,llm_output,pred_sentence,cosine_sim,true_rank,top_1_correct,top_5_correct
59,a medium red diamond is below a medium pink circle,a medium pink circle is above a small red diamond,below a small pink circle is a medium red diamond,0.9778316020965576,3,0,1
7560,above a big green octagon is a small red triangle,a small red triangle is above a big green octagon,above a big green octagon is a small red triangle,0.9856418967247009,1,1,1
624,a small green hexagon can be seen above a medium blue octagon,a medium green hexagon is above a big blue octagon,a big blue hexagon is below a medium green octagon,0.984724760055542,11,0,0
1616,a big yellow octagon is below a big pink diamond,a small pink diamond is above a medium yellow octagon,a medium pink diamond is left of a small yellow octagon,0.9664503931999207,17,0,0
7246,right of a medium green hexagon is a medium black square,a medium green hexagon is right of a medium black square,right of a medium green hexagon is a medium black square,0.988847553730011,1,1,1
8414,the small red octagon is positioned below a small red diamond,a medium red diamond is above a medium red octagon,a medium red diamond is below a medium black octagon,0.9732046723365784,75,0,0
1980,the big green circle is positioned right of a big orange octagon,a medium orange octagon is left of a medium green circle,a medium orange octagon is left of a big green circle,0.9852045178413391,172,0,0
7756,a big yellow triangle can be seen left of a medium pink octagon,a big yellow triangle is left of a medium pink octagon,a big pink octagon is left of a small yellow triangle,0.9831641316413879,5,0,1
495,a medium green circle can be seen right of a small blue square,a medium blue square is left of a medium green circle,a medium blue square is left of a small blue circle,0.9500582814216614,11,0,0
6036,below a big purple square is a small yellow square,a big purple square is above a small yellow square,below a big purple square is a small yellow square,0.965164303779602,1,1,1
9756,the medium pink triangle is positioned left of a small black triangle,a medium pink triangle is left of a small black triangle,left of a medium black triangle is a small pink triangle,0.9886859059333801,4,0,1
3308,a big red diamond is left of a medium orange square,a medium red diamond is left of a medium orange square,a big red diamond is left of a medium orange square,0.9657972455024719,1,1,1
5485,a small yellow circle is left of a big yellow diamond,a medium yellow circle is left of a medium yellow diamond,below a medium yellow circle is a medium yellow diamond,0.9448446035385132,2,0,1
2499,a medium pink diamond can be seen above a big yellow circle,a small pink diamond is above a big yellow circle,a big pink diamond is below a small yellow circle,0.9887321591377258,17,0,0
355,the big pink hexagon is positioned below a big orange triangle,a medium orange triangle is above a medium pink hexagon,below a medium pink hexagon is a medium orange triangle,0.9782360792160034,80,0,0
