run_id,split,index,filename,sentence_id,n_moves,sentence
cnn3_glove,train,1304,c_1304.png,c_1304,5,"There is X in upper left, center left, and bottom right and O in top center and center right."
cnn3_glove,train,2580,c_2580.png,c_2580,6,"X is in top middle, center right, and bottom right; O is in upper left, top right, and center."
cnn3_glove,train,2992,c_2992.png,c_2992,6,"There is X in upper left, middle right, and bottom left and O in upper right, center left, and middle."
cnn3_glove,train,157,c_157.png,c_157,3,top left and lower left has X; bottom center has O.
cnn3_glove,train,580,c_580.png,c_580,4,There is X in upper left and middle left and O in center right and bottom center.
cnn3_glove,train,1100,c_1100.png,c_1100,5,"There is X in upper left, top center, and upper right and O in center left and middle right."
cnn3_glove,train,1028,c_1028.png,c_1028,4,There is X in center and lower right and O in center left and bottom left.
cnn3_glove,train,225,c_225.png,c_225,3,lower left and lower right has X; top center has O.
cnn3_glove,train,1388,c_1388.png,c_1388,5,"There is X in top middle, bottom left, and lower right and O in upper left and middle."
cnn3_glove,train,2502,c_2502.png,c_2502,6,"X is in top middle, upper right, and middle left; O is in top left, lower left, and lower right."
cnn3_glove,train,47,c_47.png,c_47,2,There is X in lower left and O in top right.
cnn3_glove,train,4971,c_4971.png,c_4971,8,"There is X in top left, top right, bottom center, and lower right and O in top center, center left, middle, and middle right."
cnn3_glove,train,1544,c_1544.png,c_1544,5,"upper left, middle, and bottom left has X; upper right and middle right has O."
cnn3_glove,train,3055,c_3055.png,c_3055,6,"There is X in top left, upper right, and middle left and O in middle, bottom left, and bottom right."
cnn3_glove,train,5075,c_5075.png,c_5075,8,"X is in top right, middle left, bottom left, and bottom right; O is in upper left, top middle, center right, and bottom middle."
cnn3_glove,train,2657,c_2657.png,c_2657,6,"X is in top left, upper right, and center right; O is in top center, bottom left, and bottom right."
cnn3_glove,train,3879,c_3879.png,c_3879,7,"upper left, upper right, middle, and lower left has X; top center, middle left, and center right has O."
cnn3_glove,train,1396,c_1396.png,c_1396,5,"top middle, center, and bottom center has X; upper left and bottom right has O."
cnn3_glove,train,429,c_429.png,c_429,4,There is X in middle right and lower left and O in top left and top middle.
cnn3_glove,train,3725,c_3725.png,c_3725,6,"center right, bottom left, and bottom middle has X; top middle, middle left, and bottom right has O."
cnn3_glove,train,862,c_862.png,c_862,4,top center and center right has X; bottom left and bottom right has O.
cnn3_glove,train,1481,c_1481.png,c_1481,5,"X is in top left, top right, and center right; O is in center left and lower left."
cnn3_glove,train,1373,c_1373.png,c_1373,5,"X is in upper left, center, and bottom left; O is in top center and bottom middle."
cnn3_glove,train,3320,c_3320.png,c_3320,6,"middle left, bottom center, and bottom right has X; top left, center, and bottom left has O."
cnn3_glove,train,1978,c_1978.png,c_1978,5,"top right, bottom center, and lower right has X; top center and middle right has O."
cnn3_glove,train,926,c_926.png,c_926,4,center left and bottom center has X; upper right and lower left has O.
cnn3_glove,train,1175,c_1175.png,c_1175,5,"There is X in top left, middle, and bottom right and O in top middle and upper right."
cnn3_glove,train,400,c_400.png,c_400,4,upper left and top middle has X; middle and center right has O.
cnn3_glove,train,2351,c_2351.png,c_2351,6,"X is in upper left, top center, and center; O is in top right, middle left, and middle right."
cnn3_glove,train,2408,c_2408.png,c_2408,6,"top left, upper right, and bottom right has X; top center, center left, and middle has O."
cnn3_glove,train,1318,c_1318.png,c_1318,5,"There is X in top middle, bottom left, and bottom middle and O in upper left and middle left."
cnn3_glove,train,655,c_655.png,c_655,4,X is in middle right and lower left; O is in top left and lower right.
cnn3_glove,train,452,c_452.png,c_452,4,X is in top middle and lower right; O is in upper left and lower left.
cnn3_glove,train,3498,c_3498.png,c_3498,6,"X is in top middle, center right, and bottom right; O is in top right, center left, and bottom left."
cnn3_glove,train,2922,c_2922.png,c_2922,6,"X is in top center, center, and bottom right; O is in upper left, middle right, and bottom left."
cnn3_glove,train,2867,c_2867.png,c_2867,6,"There is X in top middle, middle right, and bottom middle and O in upper left, middle left, and lower right."
cnn3_glove,train,2314,c_2314.png,c_2314,5,"X is in center left, middle right, and bottom right; O is in middle and bottom middle."
cnn3_glove,train,189,c_189.png,c_189,3,X is in middle left and middle right; O is in top middle.
cnn3_glove,train,3874,c_3874.png,c_3874,7,"There is X in upper left, top center, middle right, and bottom left and O in top right, center left, and center."
cnn3_glove,train,629,c_629.png,c_629,4,upper left and lower left has X; center and bottom middle has O.
cnn3_glove,train,1986,c_1986.png,c_1986,5,"upper right, bottom left, and bottom middle has X; top middle and bottom right has O."
cnn3_glove,train,2319,c_2319.png,c_2319,5,"There is X in center right, bottom center, and bottom right and O in middle left and center."
cnn3_glove,train,2879,c_2879.png,c_2879,6,"X is in upper left, center left, and bottom right; O is in top middle, lower left, and bottom center."
cnn3_glove,train,5236,c_5236.png,c_5236,9,"X is in top left, top right, middle left, middle, and bottom right; O is in top center, middle right, lower left, and bottom middle."
cnn3_glove,train,4576,c_4576.png,c_4576,7,"There is X in top left, center left, middle right, and lower right and O in upper right, bottom left, and bottom center."
cnn3_glove,train,2576,c_2576.png,c_2576,6,"top middle, top right, and center right has X; top left, middle, and bottom right has O."
cnn3_glove,train,5094,c_5094.png,c_5094,8,"upper left, center right, bottom left, and bottom right has X; top middle, upper right, middle, and bottom middle has O."
cnn3_glove,train,3885,c_3885.png,c_3885,7,"There is X in top middle, top right, middle left, and middle and O in upper left, middle right, and lower left."
cnn3_glove,train,1403,c_1403.png,c_1403,5,"top left, middle right, and bottom left has X; top center and bottom center has O."
cnn3_glove,train,726,c_726.png,c_726,4,top center and bottom left has X; top right and center right has O.
cnn3_glove,train,1299,c_1299.png,c_1299,5,"There is X in center left, middle right, and bottom middle and O in top left and top center."
cnn3_glove,train,1414,c_1414.png,c_1414,5,"top left, middle right, and lower right has X; top center and lower left has O."
cnn3_glove,train,1094,c_1094.png,c_1094,5,"There is X in upper left, top right, and center and O in top middle and center left."
cnn3_glove,train,2560,c_2560.png,c_2560,6,"There is X in top middle, top right, and bottom center and O in top left, center, and center right."
cnn3_glove,train,5060,c_5060.png,c_5060,8,"X is in top middle, top right, bottom left, and bottom middle; O is in top left, center left, middle right, and bottom right."
cnn3_glove,train,818,c_818.png,c_818,4,There is X in middle left and bottom right and O in top center and bottom center.
cnn3_glove,train,3740,c_3740.png,c_3740,6,"X is in center, lower left, and bottom center; O is in top center, center right, and bottom right."
cnn3_glove,train,3397,c_3397.png,c_3397,6,"X is in top middle, top right, and middle; O is in center left, center right, and lower right."
cnn3_glove,train,5112,c_5112.png,c_5112,8,"top left, top center, middle left, and middle has X; middle right, lower left, bottom middle, and bottom right has O."
cnn3_glove,train,77,c_77.png,c_77,2,bottom middle has X; bottom left has O.
cnn3_glove,train,4493,c_4493.png,c_4493,7,"X is in top left, middle left, middle right, and bottom left; O is in top right, center, and lower right."
cnn3_glove,train,2371,c_2371.png,c_2371,6,"X is in top left, top right, and center left; O is in top center, middle, and lower left."
cnn3_glove,train,5017,c_5017.png,c_5017,8,"X is in top center, top right, lower left, and bottom middle; O is in upper left, center left, middle, and lower right."
cnn3_glove,train,2045,c_2045.png,c_2045,5,"top center, bottom center, and lower right has X; center left and middle has O."
