row_index,true_label,predicted_label,true_rank,reciprocal_rank,cosine_similarity,mse,top1_hit,top5_hit,exact_sentence_match,attribute_overlap_count,attribute_overlap_ratio,relation_match,object_pair_match,full_structure_match
59,a medium red diamond is below a medium pink circle,below a small pink diamond is a big pink circle,62,0.016129032258064516,0.8410022258758545,0.0008281133486889303,0,0,0,2,0.2857142857142857,1,0,0
7560,above a big green octagon is a small red triangle,above a big green octagon is a small red triangle,1,1.0,0.9272157549858093,0.0003790846385527402,1,1,1,7,1.0,1,1,1
624,a small green hexagon can be seen above a medium blue octagon,the big green octagon is positioned left of a small orange square,168,0.005952380952380952,0.8221701979637146,0.0009261973318643868,0,0,0,1,0.14285714285714285,0,0,0
1616,a big yellow octagon is below a big pink diamond,below a small pink circle is a big red octagon,21,0.047619047619047616,0.8400902152061462,0.0008328638505190611,0,0,0,4,0.5714285714285714,1,0,0
7246,right of a medium green hexagon is a medium black square,below a big green octagon is a medium pink square,136,0.007352941176470588,0.7696429491043091,0.0011997767724096775,0,0,0,3,0.42857142857142855,0,0,0
8414,the small red octagon is positioned below a small red diamond,a big orange diamond is right of a big green octagon,29,0.034482758620689655,0.8668808341026306,0.0006933289696462452,0,0,0,0,0.0,0,0,0
1980,the big green circle is positioned right of a big orange octagon,the big green circle is positioned right of a big orange octagon,1,1.0,0.9061214923858643,0.0004889511037617922,1,1,1,7,1.0,1,1,1
7756,a big yellow triangle can be seen left of a medium pink octagon,right of a medium pink circle is a big green triangle,10,0.1,0.8439618945121765,0.0008126984466798604,0,0,0,4,0.5714285714285714,0,0,0
495,a medium green circle can be seen right of a small blue square,a medium green circle can be seen right of a small blue square,1,1.0,0.8839810490608215,0.0006042653112672269,1,1,1,7,1.0,1,1,1
6036,below a big purple square is a small yellow square,a big green square can be seen right of a big pink square,80,0.0125,0.8050882816314697,0.001015165471471846,0,0,0,3,0.42857142857142855,0,1,0
9756,the medium pink triangle is positioned left of a small black triangle,above a medium pink triangle is a big green square,49,0.02040816326530612,0.8341218829154968,0.0008639488369226456,0,0,0,1,0.14285714285714285,0,0,0
3308,a big red diamond is left of a medium orange square,the big green diamond is positioned right of a small orange square,27,0.037037037037037035,0.8710312247276306,0.0006717126234434545,0,0,0,4,0.5714285714285714,0,1,0
5485,a small yellow circle is left of a big yellow diamond,the big yellow diamond is positioned left of a small green octagon,69,0.014492753623188406,0.7967275977134705,0.0010587108554318547,0,0,0,2,0.2857142857142857,1,0,0
2499,a medium pink diamond can be seen above a big yellow circle,the small pink circle is positioned above a small green square,174,0.005747126436781609,0.7682861089706421,0.0012068432988598943,0,0,0,2,0.2857142857142857,1,0,0
355,the big pink hexagon is positioned below a big orange triangle,the small pink triangle is positioned right of a big pink octagon,64,0.015625,0.8227149844169617,0.0009233593009412289,0,0,0,2,0.2857142857142857,0,0,0
3868,the medium orange hexagon is positioned above a small black circle,a medium yellow circle is above a big pink octagon,198,0.005050505050505051,0.7701091170310974,0.0011973484652116895,0,0,0,2,0.2857142857142857,1,0,0
422,the big purple octagon is positioned right of a small green hexagon,the big green octagon is positioned left of a small orange square,80,0.0125,0.8612013459205627,0.0007229096372611821,0,0,0,3,0.42857142857142855,0,0,0
6845,a medium red diamond is left of a small yellow hexagon,left of a small green octagon is a big red diamond,308,0.003246753246753247,0.7554740905761719,0.0012735729105770588,0,0,0,4,0.5714285714285714,1,0,0
7102,a big orange triangle is left of a medium green hexagon,the medium green triangle is positioned right of a big orange octagon,48,0.020833333333333332,0.8239678144454956,0.0009168344549834728,0,0,0,1,0.14285714285714285,0,0,0
4121,above a small green triangle is a small yellow octagon,above a big green octagon is a small red triangle,17,0.058823529411764705,0.8517738580703735,0.0007720116409473121,0,0,0,3,0.42857142857142855,1,0,0
2778,left of a medium blue hexagon is a medium orange triangle,a big pink octagon is right of a medium blue triangle,99,0.010101010101010102,0.8043559193611145,0.0010189794702455401,0,0,0,2,0.2857142857142857,0,0,0
3489,the medium black triangle is positioned below a big black triangle,above a medium pink triangle is a big green square,77,0.012987012987012988,0.8102797865867615,0.0009881259175017476,0,0,0,1,0.14285714285714285,0,0,0
