image_id,path,gold_label,llm_output
59,src/data/images/type-a/png/59.png,a medium red diamond is below a medium pink circle,a medium pink circle is above a small red diamond
7560,src/data/images/type-a/png/7560.png,above a big green octagon is a small red triangle,a small red triangle is above a big green octagon
624,src/data/images/type-a/png/624.png,a small green hexagon can be seen above a medium blue octagon,a medium green hexagon is above a big blue octagon
1616,src/data/images/type-a/png/1616.png,a big yellow octagon is below a big pink diamond,a small pink diamond is above a medium yellow octagon
7246,src/data/images/type-a/png/7246.png,right of a medium green hexagon is a medium black square,a medium green hexagon is right of a medium black square
8414,src/data/images/type-a/png/8414.png,the small red octagon is positioned below a small red diamond,a medium red diamond is above a medium red octagon
1980,src/data/images/type-a/png/1980.png,the big green circle is positioned right of a big orange octagon,a medium orange octagon is left of a medium green circle
7756,src/data/images/type-a/png/7756.png,a big yellow triangle can be seen left of a medium pink octagon,a big yellow triangle is left of a medium pink octagon
495,src/data/images/type-a/png/495.png,a medium green circle can be seen right of a small blue square,a medium blue square is left of a medium green circle
6036,src/data/images/type-a/png/6036.png,below a big purple square is a small yellow square,a big purple square is above a small yellow square
9756,src/data/images/type-a/png/9756.png,the medium pink triangle is positioned left of a small black triangle,a medium pink triangle is left of a small black triangle
3308,src/data/images/type-a/png/3308.png,a big red diamond is left of a medium orange square,a medium red diamond is left of a medium orange square
5485,src/data/images/type-a/png/5485.png,a small yellow circle is left of a big yellow diamond,a medium yellow circle is left of a medium yellow diamond
2499,src/data/images/type-a/png/2499.png,a medium pink diamond can be seen above a big yellow circle,a small pink diamond is above a big yellow circle
355,src/data/images/type-a/png/355.png,the big pink hexagon is positioned below a big orange triangle,a medium orange triangle is above a medium pink hexagon
3868,src/data/images/type-a/png/3868.png,the medium orange hexagon is positioned above a small black circle,a medium orange hexagon is above a medium black circle
422,src/data/images/type-a/png/422.png,the big purple octagon is positioned right of a small green hexagon,a small green hexagon is left of a big purple octagon
6845,src/data/images/type-a/png/6845.png,a medium red diamond is left of a small yellow hexagon,a medium red diamond is left of a medium yellow hexagon
7102,src/data/images/type-a/png/7102.png,a big orange triangle is left of a medium green hexagon,a medium orange triangle is left of a medium green hexagon
4121,src/data/images/type-a/png/4121.png,above a small green triangle is a small yellow octagon,a medium yellow octagon is above a small green triangle
2778,src/data/images/type-a/png/2778.png,left of a medium blue hexagon is a medium orange triangle,a medium orange triangle is left of a medium blue hexagon
3489,src/data/images/type-a/png/3489.png,the medium black triangle is positioned below a big black triangle,a medium black triangle is above a small black triangle
6561,src/data/images/type-a/png/6561.png,a medium yellow circle is right of a medium pink diamond,a medium pink diamond is left of a medium yellow circle
4377,src/data/images/type-a/png/4377.png,above a medium orange square is a big yellow diamond,a medium yellow diamond is above a medium orange square
62,src/data/images/type-a/png/62.png,a big orange square can be seen right of a small yellow square,a medium yellow square is left of a big orange square
5094,src/data/images/type-a/png/5094.png,the medium yellow triangle is positioned right of a medium pink triangle,a small pink triangle is left of a small yellow triangle
4119,src/data/images/type-a/png/4119.png,a small green diamond is right of a medium blue hexagon,a medium blue hexagon is left of a small green diamond
8360,src/data/images/type-a/png/8360.png,left of a big pink circle is a small orange circle,a medium orange circle is left of a big pink circle
2610,src/data/images/type-a/png/2610.png,the medium pink diamond is positioned below a medium blue octagon,a medium blue octagon is above a small pink diamond
5847,src/data/images/type-a/png/5847.png,above a small blue triangle is a small purple octagon,a medium purple octagon is above a small blue triangle
1693,src/data/images/type-a/png/1693.png,right of a medium purple triangle is a medium blue diamond,a small purple triangle is left of a small blue diamond
1068,src/data/images/type-a/png/1068.png,the small black hexagon is positioned below a medium yellow square,a medium yellow square is above a small black hexagon
6921,src/data/images/type-a/png/6921.png,a big yellow circle can be seen above a medium blue triangle,a big yellow circle is above a small blue triangle
8758,src/data/images/type-a/png/8758.png,a big blue octagon can be seen above a medium purple diamond,a medium blue octagon is above a small purple diamond
1862,src/data/images/type-a/png/1862.png,a medium red octagon can be seen above a small black hexagon,a big red octagon is above a small black hexagon
7464,src/data/images/type-a/png/7464.png,a small orange diamond is below a big pink diamond,a medium pink diamond is above a small orange diamond
3289,src/data/images/type-a/png/3289.png,a big orange circle is right of a small pink diamond,a small pink diamond is left of a big orange circle
695,src/data/images/type-a/png/695.png,a small yellow circle is below a small orange diamond,a medium orange diamond is above a medium yellow circle
8049,src/data/images/type-a/png/8049.png,a big black triangle is above a medium pink diamond,a medium black triangle is above a small pink diamond
9820,src/data/images/type-a/png/9820.png,right of a big pink square is a big pink circle,a medium pink square is left of a medium pink circle
4366,src/data/images/type-a/png/4366.png,the big purple octagon is positioned below a big blue triangle,a small blue triangle is above a medium purple octagon
7940,src/data/images/type-a/png/7940.png,a big pink hexagon can be seen right of a big black hexagon,a medium black hexagon is left of a medium pink hexagon
6216,src/data/images/type-a/png/6216.png,left of a small blue hexagon is a small yellow diamond,a small yellow diamond is left of a small blue hexagon
6486,src/data/images/type-a/png/6486.png,a big red octagon can be seen below a small yellow circle,a small yellow circle is above a big red octagon
3876,src/data/images/type-a/png/3876.png,a medium green hexagon is above a medium pink circle,a medium green hexagon is above a medium pink circle
5731,src/data/images/type-a/png/5731.png,the small red hexagon is positioned left of a medium green octagon,a small red hexagon is left of a big green octagon
6370,src/data/images/type-a/png/6370.png,left of a big black octagon is a big pink octagon,a medium pink octagon is left of a medium black octagon
4430,src/data/images/type-a/png/4430.png,the big purple circle is positioned left of a big red triangle,a medium purple circle is left of a small red triangle
3291,src/data/images/type-a/png/3291.png,the small blue square is positioned right of a small yellow hexagon,a medium yellow hexagon is left of a medium blue square
2801,src/data/images/type-a/png/2801.png,the small yellow circle is positioned right of a medium blue square,the medium blue square is positioned left of a medium yellow circle
2433,src/data/images/type-a/png/2433.png,a medium green square can be seen below a small green triangle,a small green triangle is above a medium green square
6035,src/data/images/type-a/png/6035.png,left of a small green triangle is a small pink diamond,a small pink diamond is left of a small green triangle
7333,src/data/images/type-a/png/7333.png,the small yellow square is positioned right of a medium purple diamond,a medium purple diamond is left of a small yellow square
